"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Update course","LMS service","Wed Apr 30 12:50:29 GMT 2025","passed","Wed Apr 30 12:50:29 GMT 2025","Update entity","Courses","",""
"","15","Get file","LMS service","Wed Apr 30 12:50:33 GMT 2025","passed","Wed Apr 30 12:50:33 GMT 2025","Get entity","Files","",""
"","19","Create exercise","LMS service","Wed Apr 30 12:50:29 GMT 2025","passed","Wed Apr 30 12:50:29 GMT 2025","Create entity","Exercises","",""
"","22","Delete file","LMS service","Wed Apr 30 12:50:35 GMT 2025","passed","Wed Apr 30 12:50:35 GMT 2025","Delete entity","Files","",""
"","16","Get exercises","LMS service","Wed Apr 30 12:50:32 GMT 2025","passed","Wed Apr 30 12:50:32 GMT 2025","Get entities","Exercises","",""
"","264","Create file with empty filename","LMS service","Wed Apr 30 12:50:34 GMT 2025","passed","Wed Apr 30 12:50:34 GMT 2025","Validate entity","Files","",""
"","259","Create file","LMS service","Wed Apr 30 12:50:33 GMT 2025","passed","Wed Apr 30 12:50:33 GMT 2025","Create entity","Files","",""
"","283","Login with correct email and password","LMS service","Wed Apr 30 12:50:27 GMT 2025","passed","Wed Apr 30 12:50:27 GMT 2025","Login","Authentication","",""
"","17","Get exercise","LMS service","Wed Apr 30 12:50:31 GMT 2025","passed","Wed Apr 30 12:50:31 GMT 2025","Get entity","Exercises","",""
"","298","Create course","LMS service","Wed Apr 30 12:50:28 GMT 2025","passed","Wed Apr 30 12:50:28 GMT 2025","Get entities","Courses","",""
"","532","Create user","LMS service","Wed Apr 30 12:50:34 GMT 2025","passed","Wed Apr 30 12:50:35 GMT 2025","Create entity","Users","",""
"","17","Create file with empty directory","LMS service","Wed Apr 30 12:50:34 GMT 2025","passed","Wed Apr 30 12:50:34 GMT 2025","Validate entity","Files","",""
"","544","Create user","LMS service","Wed Apr 30 12:50:35 GMT 2025","passed","Wed Apr 30 12:50:36 GMT 2025","Create entity","Users","",""
"","28","Update exercise","LMS service","Wed Apr 30 12:50:31 GMT 2025","passed","Wed Apr 30 12:50:31 GMT 2025","Update entity","Exercises","",""
"","11","Get user me","LMS service","Wed Apr 30 12:50:36 GMT 2025","passed","Wed Apr 30 12:50:36 GMT 2025","Get entity","Users","",""
"","26","Get courses","LMS service","Wed Apr 30 12:50:28 GMT 2025","passed","Wed Apr 30 12:50:28 GMT 2025","Create entity","Courses","",""
"","32","Delete exercise","LMS service","Wed Apr 30 12:50:32 GMT 2025","passed","Wed Apr 30 12:50:32 GMT 2025","Delete entity","Exercises","",""
"","519","Create user","LMS service","Wed Apr 30 12:50:35 GMT 2025","passed","Wed Apr 30 12:50:35 GMT 2025","Create entity","Users","",""
