"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Create file","LMS service","Wed Apr 30 14:42:02 GMT 2025","passed","Wed Apr 30 14:42:02 GMT 2025","Create entity","Files","",""
"","288","Create user","LMS service","Wed Apr 30 14:42:05 GMT 2025","passed","Wed Apr 30 14:42:05 GMT 2025","Create entity","Users","",""
"","555","Create user","LMS service","Wed Apr 30 14:42:05 GMT 2025","passed","Wed Apr 30 14:42:06 GMT 2025","Create entity","Users","",""
"","19","Delete exercise","LMS service","Wed Apr 30 14:42:01 GMT 2025","passed","Wed Apr 30 14:42:01 GMT 2025","Delete entity","Exercises","",""
"","556","Login with correct email and password","LMS service","Wed Apr 30 14:41:57 GMT 2025","passed","Wed Apr 30 14:41:58 GMT 2025","Login","Authentication","",""
"","261","Create file with empty filename","LMS service","Wed Apr 30 14:42:03 GMT 2025","passed","Wed Apr 30 14:42:04 GMT 2025","Validate entity","Files","",""
"","27","Create course","LMS service","Wed Apr 30 14:41:58 GMT 2025","passed","Wed Apr 30 14:41:58 GMT 2025","Get entities","Courses","",""
"","21","Create exercise","LMS service","Wed Apr 30 14:42:00 GMT 2025","passed","Wed Apr 30 14:42:00 GMT 2025","Create entity","Exercises","",""
"","11","Get user me","LMS service","Wed Apr 30 14:42:06 GMT 2025","passed","Wed Apr 30 14:42:06 GMT 2025","Get entity","Users","",""
"","20","Update exercise","LMS service","Wed Apr 30 14:42:00 GMT 2025","passed","Wed Apr 30 14:42:00 GMT 2025","Update entity","Exercises","",""
"","17","Get exercise","LMS service","Wed Apr 30 14:42:01 GMT 2025","passed","Wed Apr 30 14:42:01 GMT 2025","Get entity","Exercises","",""
"","267","Create file with empty directory","LMS service","Wed Apr 30 14:42:04 GMT 2025","passed","Wed Apr 30 14:42:05 GMT 2025","Validate entity","Files","",""
"","557","Create user","LMS service","Wed Apr 30 14:42:05 GMT 2025","passed","Wed Apr 30 14:42:06 GMT 2025","Create entity","Users","",""
"","32","Update course","LMS service","Wed Apr 30 14:41:59 GMT 2025","passed","Wed Apr 30 14:41:59 GMT 2025","Update entity","Courses","",""
"","295","Delete file","LMS service","Wed Apr 30 14:42:05 GMT 2025","passed","Wed Apr 30 14:42:05 GMT 2025","Delete entity","Files","",""
"","28","Get courses","LMS service","Wed Apr 30 14:41:59 GMT 2025","passed","Wed Apr 30 14:41:59 GMT 2025","Create entity","Courses","",""
"","15","Get file","LMS service","Wed Apr 30 14:42:04 GMT 2025","passed","Wed Apr 30 14:42:04 GMT 2025","Get entity","Files","",""
"","18","Get exercises","LMS service","Wed Apr 30 14:42:02 GMT 2025","passed","Wed Apr 30 14:42:02 GMT 2025","Get entities","Exercises","",""
