"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Get courses","LMS service","Tue Apr 29 19:18:57 GMT 2025","passed","Tue Apr 29 19:18:57 GMT 2025","Create entity","Courses","",""
"","306","Update course","LMS service","Tue Apr 29 19:18:58 GMT 2025","passed","Tue Apr 29 19:18:58 GMT 2025","Update entity","Courses","",""
"","16","Get exercises","LMS service","Tue Apr 29 19:19:01 GMT 2025","passed","Tue Apr 29 19:19:01 GMT 2025","Get entities","Exercises","",""
"","15","Get file","LMS service","Tue Apr 29 19:19:02 GMT 2025","passed","Tue Apr 29 19:19:02 GMT 2025","Get entity","Files","",""
"","289","Create exercise","LMS service","Tue Apr 29 19:18:58 GMT 2025","passed","Tue Apr 29 19:18:58 GMT 2025","Create entity","Exercises","",""
"","541","Create user","LMS service","Tue Apr 29 19:19:04 GMT 2025","passed","Tue Apr 29 19:19:04 GMT 2025","Create entity","Users","",""
"","262","Create file with empty filename","LMS service","Tue Apr 29 19:19:02 GMT 2025","passed","Tue Apr 29 19:19:02 GMT 2025","Validate entity","Files","",""
"","24","Delete file","LMS service","Tue Apr 29 19:19:04 GMT 2025","passed","Tue Apr 29 19:19:04 GMT 2025","Delete entity","Files","",""
"","260","Create file","LMS service","Tue Apr 29 19:19:01 GMT 2025","passed","Tue Apr 29 19:19:01 GMT 2025","Create entity","Files","",""
"","549","Create user","LMS service","Tue Apr 29 19:19:03 GMT 2025","passed","Tue Apr 29 19:19:04 GMT 2025","Create entity","Users","",""
"","288","Create user","LMS service","Tue Apr 29 19:19:04 GMT 2025","passed","Tue Apr 29 19:19:04 GMT 2025","Create entity","Users","",""
"","552","Login with correct email and password","LMS service","Tue Apr 29 19:18:56 GMT 2025","passed","Tue Apr 29 19:18:56 GMT 2025","Login","Authentication","",""
"","292","Delete exercise","LMS service","Tue Apr 29 19:19:00 GMT 2025","passed","Tue Apr 29 19:19:00 GMT 2025","Delete entity","Exercises","",""
"","294","Update exercise","LMS service","Tue Apr 29 19:18:59 GMT 2025","passed","Tue Apr 29 19:18:59 GMT 2025","Update entity","Exercises","",""
"","265","Create file with empty directory","LMS service","Tue Apr 29 19:19:03 GMT 2025","passed","Tue Apr 29 19:19:03 GMT 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Tue Apr 29 19:19:05 GMT 2025","passed","Tue Apr 29 19:19:05 GMT 2025","Get entity","Users","",""
"","30","Create course","LMS service","Tue Apr 29 19:18:56 GMT 2025","passed","Tue Apr 29 19:18:56 GMT 2025","Get entities","Courses","",""
"","17","Get exercise","LMS service","Tue Apr 29 19:18:59 GMT 2025","passed","Tue Apr 29 19:18:59 GMT 2025","Get entity","Exercises","",""
